exp_no,amplitude,wavelength,del_x,travel_distance,velocity,,Current (A),Voltage (V),
1,1.07,3.02,0.05,60,1.51,,188.79,27.31,
2,1.13,2.93,0.03,60,4.05,,202.09,23.78,
3,0.88,1.79,0.05,60,4.24,,205.89,25.87,
4,0.39,1.58,0.05,60,2.48,,186.39,26.32,
5,0.85,1.5,0.02,60,2.78,,211.42,25.53,
6,0.52,2.87,0.04,60,2.5,,219.65,22.72,  
7,0.48,1.66,0.07,60,3.33,,213.97,26.31,
8,0.32,2.82,0.07,60,2.09,,216.61,26.46,
9,1.06,1.9,0.07,60,3.78,,199.23,26.54,
10,0.25,3.13,0.03,60,4.47,,207.98,23.08,
11,0.89,2.51,0.02,60,2.18,,191.49,25.9,
12,0.61,2.06,0.04,60,4.45,,194.34,24.02,
13,0.66,1.71,0.06,60,1.94,,197.41,27.56,
14,0.55,3.09,0.04,60,2.87,,181.26,24.14,
15,0.63,3.19,0.05,60,2.41,,213.59,27.61,
16,0.31,2.39,0.03,60,3.94,,183.89,22.69,
17,0.62,3,0.04,60,1.82,,218.29,24.5,
18,0.36,3.27,0.02,60,2.45,,189.73,22.53,
19,0.92,3.36,0.03,60,2.21,,193.62,25.03,
20,1.16,2.97,0.06,60,4.13,,196.84,27.83,
21,0.5,3.1,0.05,60,2.33,,181.72,27.81,
22,0.83,2.19,0.02,60,4.01,,217.6,22.33,
23,0.57,2.28,0.02,60,4.22,,192.85,26.2,
24,0.72,1.8,0.05,60,3.49,,196.46,26.16,
25,0.86,2.98,0.06,60,3.9,,218.54,26.76,
26,0.33,1.63,0.07,60,2.03,,198,23.89,
27,1.19,1.98,0.07,60,4.32,,197.82,24.43,
28,0.74,1.93,0.06,60,3.46,,203.69,24.74,
29,1.12,2.08,0.03,60,4.39,,191.86,24.9,
30,0.59,2.66,0.06,60,1.97,,206.37,25.97,
31,0.65,2.48,0.07,60,3.96,,182.34,24.57,
32,0.41,3.2,0.07,60,2.73,,204.4,22.87,
33,0.64,1.61,0.05,60,1.79,,180.3,22.62,
34,0.94,2.47,0.06,60,3.08,,203.01,26.59,
35,1.1,1.74,0.06,60,3.63,,186.52,24.8,
36,0.99,3.4,0.07,60,3.76,,211.61,24.33,
37,1.14,2.45,0.07,60,1.57,,183.06,27,
38,0.47,2.27,0.02,60,2.69,,201.72,23.71,
39,0.6,2.22,0.03,60,4.35,,208.5,26.72,
40,0.84,1.73,0.03,60,3.56,,212.35,26.63,
41,0.44,1.84,0.04,60,4.18,,190.75,24.85,
42,0.35,2.13,0.05,60,1.88,,219.13,24.24,
43,0.29,2.17,0.03,60,1.83,,208.27,23.58,
44,0.93,1.87,0.02,60,1.74,,214.91,22.43,
45,0.45,3.17,0.02,60,2.81,,205.43,22.9,
46,0.76,2.91,0.03,60,3.15,,190.06,22.02,
47,0.73,3.24,0.07,60,4.02,,185.39,24.17,
48,0.58,2.78,0.02,60,2.35,,215.94,27.06,
49,0.34,3.49,0.04,60,3.82,,192.67,23.06,
50,0.26,3.38,0.06,60,3.36,,214.21,22.21,
51,0.49,1.57,0.03,60,2.88,,189.19,23.2,
52,1.02,1.69,0.02,60,1.59,,189.54,25.21,
53,0.54,3.05,0.05,60,2.94,,204.2,22.16,
54,0.42,1.55,0.03,60,3.85,,200.62,27.75,
55,0.27,2.41,0.06,60,2.06,,207.39,25.57,
56,0.9,3.45,0.02,60,2.23,,214.61,22.26,
57,0.43,1.89,0.06,60,1.65,,209.25,27.99,
58,0.81,3.23,0.06,60,3.73,,211.06,27.91,
59,0.22,3.47,0.04,60,3.87,,195.32,27.12,
60,0.95,2.04,0.05,60,4.26,,219.44,23.26,
61,0.37,1.52,0.04,60,2.84,,201.49,23.01,
62,0.69,2.57,0.07,60,3.03,,212.61,22.82,
63,0.77,2.2,0.02,60,2.93,,200.82,24.68,
64,0.8,2,0.03,60,2.57,,190.85,24.96,
65,0.3,2.14,0.04,60,3.11,,216.2,26.08,
66,1,2.36,0.03,60,1.54,,180.55,25.64,
67,0.24,2.76,0.06,60,3.23,,208.85,23.92,
68,0.23,3.33,0.02,60,2.14,,183.26,26.85,
69,0.75,2.34,0.04,60,3.24,,194.67,25.15,
70,0.53,2.71,0.03,60,1.9,,210.69,25.11,
71,0.68,2.68,0.05,60,2.7,,212.94,25.46,
72,1.05,3.31,0.07,60,1.62,,192.17,26.06,
73,0.87,2.3,0.05,60,1.7,,204.86,23.81,
74,0.4,1.65,0.07,60,1.72,,200.12,27.2,
75,0.56,3.28,0.02,60,4.29,,196.19,23.33,
76,0.96,2.25,0.04,60,4.41,,216.86,25.73,
77,0.98,1.82,0.07,60,2.62,,185.86,27.24,
78,0.91,2.02,0.03,60,3.62,,195.07,24.05,
79,0.97,1.76,0.02,60,2.98,,195.65,22.06,
80,0.78,2.74,0.03,60,3.27,,199.73,27.45,
81,0.67,3.06,0.04,60,3.67,,215.28,25.71,
82,0.28,1.94,0.06,60,2.29,,210.35,23.4,
83,0.21,2.62,0.04,60,3.19,,193.58,25.36,
84,0.38,3.42,0.06,60,1.98,,182.67,25.82,
85,1.15,2.94,0.05,60,3.59,,206.9,26.95,
86,0.46,2.8,0.04,60,2.12,,206.74,25.3,
87,0.82,3.35,0.05,60,2.52,,188.36,27.49,fire
